english,farsi
abnormalcy,نا هنجاري
abnormality,نابههنجاري
abode,بودباش
Abolfath,ابوالفتح
Abolfazl,ابوالفضل
Abolghasem,ابوالقاسم
Abolhasan,ابوالحسن
abolish,اازميان بردن
abolish,نسخ کردن
abolish,منسوخ کردن
abolished,موقوف
abolished,منسوخ
abolished customs,رسوم مسوخه
abolition,نسخ
abolition,الغا مجازات
abolition,برانداختگي
abominable,مکروه
abominate,مکروه دانستن
abomination,عمل شنيع
abonne,وجهاشتراک
aboriginal,سکنه اوليه
aborigine,گياه بومي
abort,نارس ماندن
abort,سقط کردن
abort,ريشه نکردن
abort,عقيم ماندن
aborted,ساقط
abortifacient,سقط جنيني
abortifacient,بچهانداز
abortion,عدم تکامل
abortion,سقط
abortion,سقط جنين
abortion,بچهاندازي
abortion,سقطجنين
abortion,کورتاژ
abortion causing,بچهانداز
abortive,عقيم
abound,بوفور يافت شدن
abound,وفور يافتن
abound,وفور داشتن
abound,وفور پيدا کردن
abound,زياد بودن
about,حدود
about,به حدود
about,در باره
about,راجعبه
about,پيرامون
about,در حدود
about,در شرف
about,در ب^ره
about,در مورد
about face,جهت ديگر
about this,در ين باره
about to die,در دم مرگ
about to give birth,زائو
about to start,راهي
above,بالي سر
above,نام برده
above,مکوردرفوق
above,واقع دربالا
above,مافوق
above,از فراز
above,در بالي
above,بالي
above,بر روي
abracadabra,سخن نامفهوم
abradant,سوزش آور
Abraham,ابراهيم
Abraham,ابراهيم پيامبر
Abraham Lincoln,ابراهام لينکلن
abrasion,خراش
abrasion,سيش
abrasive,سوزش آور
abrasive,سيا
abrasive,سينده
abrasive,سيشي
abreviation,مخفف
abreviation,مخفف
abridged,تلخيص شده
abridged,مجمل
abridgement,اقتصار
abroach,بهم زده
abroad,ممالک بيگانه
abroad,گسترش يافته
abrubtly,تند
abrupt,ناگهان
abrupt,تند
abruptly,بي مقدمه
abscess,آبسه
abscess,دنبل
abscess,دمل
abscess,پيله
abscissa,بعد افقي
abscond,روپنهان کردن
absence,نبودن
absence,غياب
absence,غيبت
absence,مغيب
absence,فقدان
absence,غيبي
absence,جا خالي
absent,غيب
absent,غيب
absent,غيابي
absent,غيرموجود
absent,غيبت کردن
absent-minded,کم حافظه
absent-minded,بي حواس
absentee,شخص غيب
absentee,غيابي
absentee,غيب
absentminded,حواسپرت
absentmindedness,حواس پرتي
absolut majority,اکثريت مطلق
absolute,مطلق
absolute,محض
absolute,مطلقه
absolute address,نشاني مطلق
absolute ignorance,جهل مرکب
absolute power of attorney,وکالت مطلغ
absolute rule,حکومت مطلقه
absolute value,قدر مطلق
absolutely,مطلقا
absolutely,مطلقاً
absolutely,عليالاطلاق
absolve,اعلام بيتقصيري کردن
absolve,بري الذمه کردن
absorb,مکيدن
absorb,جذب کردن
absorb,در کشيدن
absorb,مستغرق بودن
absorb,درآشا ميدن
absorb,کاملا فروبردن
absorb moisture,رطوبت کشيدن
absorbant,درکش
absorbant,درآشام
absorbed,مکنده
absorbed,مستهلک
absorbed,منجذب
absorbency,فروبري
absorbency,قابليت جذب
absorbency,قدرت جذب
absorbent,جاذب
absorbent,نشاف
absorber,آشامنده
absorption,انجذاب
absorption,درآشامي
absorption,درکشي
absorption,جذب
absorptive,جذب کننده
abstain,خودداري کردن
abstain,نکول کردن
abstaining,پرهيز
abstaining,ممتنع
abstemious,پرهيزکار
abstemious,پرهيزگار
abstention,نکول
abstergent,شستشو دهنده
abstinence,اجتناب
abstinence,پرهيزگاري
abstinence,پرهيزکاري
abstinence,پرهيز
abstract,اجمالي
abstract,انتزاعي
abstract,چکيده کردن
abstract,برآهيخته
abstract,اجمال
abstract,خلاصه
abstract noun,اسم معني
abstract number,عدد مطلق
abstraction,تجريد
abstraction,چکيدگي
abstraction,انتزاع
abstraction,برآهنگ
abstractive,موجد تجرد
abstractive,تجريدي
abstruse,مغلق
abstruse,غامض
absurd,بي معني
absurd,چرندي
absurd,مزخرف
absurdity,مزخرف بودن
Abtin,آبتين
Abu Dhabi,ابوظبي
Abu Hanifa,ابو هنيفه
Abu Musab Zarqawi,ابو موسي زرقاوي
Abu-Ali,ابوعلي
Abu-Taleb,ابوطالب
Abubakr,ابوبکر
abundance,وفور
abundance,فراواني
abundance,انبوهي
abundance,برکت
abundant,وافر
abundant,فراوان
abundant,انبوه
abundant,شيگان
abundant,فره
abundantly,بفراواني
abuse,سوءاستفاده کردن
abuse,سواستفاده کردن
abuse,بد بکار بردن
abuse,سوء استفاده
abuse,سوءاستعمال
abuse,بد استعمال کردن
abusive,سوء استعمال
abusive,فحاش
abusive,فحاش
abusive language,فحش
abusive language,بد زباني
abusiveness,فحاشي
abut,مماس بودن
abut,مجاور بودن
abutment,بست ديوار
abutment,پيه جناحي
abuttals,زمين مجاور
abuttals,زمين همسيه
abutting,هم مرز
abysm,غوطه ورساختن
abysmal,مغاکي
abyss,درکه
abyss,مغاک
abyss,حضيض
abyss,ورطه
abyss,غوطه ورساختن
abyssal,ناپيمودني
abyssal,ژرفزيوي
acacia,اقاقيا
academia,انجمن دانش
academian,عضوانجمن علمي
academian,عضو آکادمي
academic,آکادميک
academic,عضو فرهنگستان
academic,تحصيلي
academic paper,مدرک تحصيلي
academic year,سال تحصيلي
academician,عضو آکادمي
academy,فرهنگستان
academy,آکادمي
academy,مکتب فرهنگستان
academy,آموزشگاه
acanthocephala,خارسران
acanthus,کنگر
Acapulco,آکاپولکو
acatalepsy,فلسفه احتمالي
accede,رضيت دادن
accelerate,شتاب بخشيدن
accelerate,سرعت دادن
accelerate,شتاب کردن
accelerate,سرعت گرفتن
accelerate,تسريع کردن
accelerate,تسريع شدن
accelerate,تند شدن
acceleration,تسريع
acceleration,شتاب
acceleration,افزيش سرعت
accelerative,شتابي
accelerator,شتاباننده
accelerator,گاز
accelerator,تند کن
accent,لهجه
accent,گويش
accentual,لهجهي
accept,اجابت کردن
accept,موافقت شدن
accept,قبول کردن
accept,تقبل کردن
accept,حاضر شدن
accept,پذيرفتن
acceptability,قابليت پذيرش
acceptability,پذيرفتگي
acceptability,مقبوليت
acceptable,قابل پذيرش
acceptable,پذيرفتني
acceptable,موجه
acceptable,بلامانع
acceptance,قبولي
acceptance,پذيرش
acceptance,قبول
acceptance,اجابت
acceptance,تقبل
acceptance test,آزمون پذيرش
acceptant,قبول کننده
acceptation,معني مصطلح
accepted,مقبول
accepted,مستجاب
accepted,پذيرفته
accepter,قبول کننده
accepting,پذيرا
acceptor,پذيرنده
access,دسترسي
access,دستيابي
access,راه يافتن
access,تقرب
access control,کنترل دستيابي
access time,زمان دستيابي
accessible,دم دستي
accessible,دستياب
accessible,بدست آوردني
accessible,دسترس
accession,الحاق حقوق
accession,جلوس کردن
accession,جلوس
accessory,هم دست
accident,سانحه
accident,داهيه
accident,اتفاق
accident,عارضه صرفي
accident,تصادف
accident,حادثه
accident,عرض
accidental,پيشآمدي
accidental,تصادفي
accidental,عارضي
accidental,عرضي
accidental,غير اساسي
accidental,اتفاقي
accidentally,بر حسب تصادف
accidentally,تصادفا
accidentally,بل
accidents,سوانح
accidents,عوارض
accidents,حوادث
acclaim,ندا دادن
acclamation,احسنت
accommodate,جي دادن
accommodate,همساز کردن
accommodate,جا دادن
accompaniment,دم گيري
accompanist,دم گير
accompany,بدرقه کردن
accompany,توام کردن
accompany,مصاحبت کردن
accompany,همراه رفتن
accompany,مشيعت کردن
accompanying,بدرقه
accomplice,معاون جرم
accomplice,همداستان
accomplice,شريک جرم
accomplice,دستيار
accomplish,بهانجام رساندن
accomplished,مهذب
accomplished,باکمال
accomplished,صاحب کمال
accomplished,کامل شده
accomplishment,کارکرد
accomplishments,کمالات
accord,طيب خاطر
accordance,وفق
according to,به اظهار
according to,به نوشته
according to,به ادعي
according to,به نظر
according to,مطابق
according to,طبق
according to,بمصداق
according to,به گفته
according to,به عقيده
according to,بگزارش
according to,بنابر
according to,بنابه
according to,بنابگفته
according to,بنا به گفته
according to,بر طبق
according to,بر حسب
according to,بزعم
according to,برطبق
according to,مطابق با
according to,ممصادق
according to,بروفق
according to circumstances,بنا بر مقتضيات
according to desire,بر وفق مراد
according to habit,طبق مرسوم
according to habit,بر حسب مرسوم
according to the usual habit,بعادت معلوف
according to the usual habit,بعادت مالوف
according to weight,وزناً
according to what is said,بقرار مسموع
accordingly,به ين ترتيب
accordingly,نتيجتا
accordingly,از ينرو
accordingly,بدين ترتيب
accordingly,بالنتيجه
account,حساب
account,تاريخچه
account card,کارت حساب
account number,شماره حساب
account statement,صورت حساب بانکي
accountable,قابل توضيح
accountancy,حسابداري
accountant,حسابدار
accounting,محاسبه
accounting,حسابداري
accounting,محاسباتي
accounting machine,ماشين حسابداري
accounting office,اداره حسابداري
accounting system,سيستم حسابداري
accounts,محاسبات
accrete,مجگ
accrue,منتج گرديدن
acculturate,فرهنگ پذيرفتن
accumulate,ذخيره کردن
accumulate,انباشتن
accumulate,ترکم کردن
accumulate,گرد کردن
accumulate,اندوختن
accumulate wealth,مال اندوختن
accumulating,احتکاري
accumulation,تراکم
accumulation,انباشتگي
accumulator,انباره
accumulator,انباشتگر
accuracy,صحت
accuracy,دقت
accuracy control,کنترل دقت
accurate,راستين
accurate,دقيق
accusation,افترا
accusation,تهمت
accusation,اتهام
accusative,ريي
accusatory,اتهامي
accusatory,تهمت آميز
accuse,افترا زدن
accuse,متهم ساختن
accuse,متهم کردن
accuse,تهمت زدن
accuse,تهمت بستن
accused,متهم
accused,متهم
accustom,عادي کردن
accustom,عادت دادن
accustom,معتاد ساختن
accustom,آشنا شدن
accustom,خو دادن
accustom,خو گرفتن
accustom,معتاد شدن
accustomed,خوگرفته
accustomed,آموخته
ace,کلمات مييد
acellular,بي ياخته
acellular,غير سلولي
acentric,بي مرکز
acerate,سوزني شکل
acerbity,دبشي
acetate,استات
acetic,سرکه مانند
acetic acid,جوهر سرکه
achaemenian,هخامنشي
acheron,عالم اسفل
achievable,موفقيت پذير
achievable,قابل وصول
achievable,صورت پذير
achievable,قابل تفريق
achieve,دست يافتن
achieve,بهانجام رسانيدن
achievement,کار بزرگ
achilles heel,نقطه ضعف
acid,اسيد
acid,سرکه مانند
acid,حامض
acid,جوهر اسيد
acid test,وسيله آزميش
acidic,اسيدي
acidic,اسيد دار
acidification,تحميض
acidification,اسيد شدگي
acidifier,ميه حموضت
acidimeter,اسيد سنج
acidity,اسيديته
acidity,حموضت
acidophile,اسيدگري
acidulent,کج خلق
aciform,سوزني شکل
acknowledge,اقرار کردن
acknowledgement,اذعان
acknowledgement,اعتراف
acknowledgment,شهادت نامه
acknowledgment,اقرار
acme,نقطه کمال
acne,غرور جواني
acne,جوش
acne,غرور جواني
acock,يک ور
acomia,صلع
acorn,بلوط
acoumeter,سامعه سنج
acoustic,صوتي
acoustic,صديي
acoustic,صوتي
acoustician,ويژه گر آواشنود
acoustics,صوت شناسي
acoustics,صوت شناسي
acquaintance,معرفت
acquaintance,آشنا
acquaintance,شناسا
acquainted,بلد
acquainted,شناسا
acquiesce,تن در دادن
acquirable,قابل حصول
acquire,اندوختن
acquire knowledge,علم اندوختن
acquired,فرا گرفته
acquired,مکتسب
acquired,اکتسابي
acquired immunity,يمني اکتسابي
acquirement,فرا گيري
acquirer,اندوزنده
acquisition,فراگيري
acquisition,تحصيل
acquisition,فرا گيري
acquisition,حصول
acquisition,اکتساب
acquisitive,اکتساب کننده
acquit,روسفيد کردن
acquit,تبرئه کردن
acquittal,تبرئه
acquittal,برائت ذمه
acquittance,برائت
acrid,تند
acrid,دبش
acrid,گس
acridity,گسي
acrobat,آکروبات
acrography,گچ بري
acronym,سر نام
across,رو به رو
across,ازعرض
across,روبروي
across,روب رو
across from,روبه روي
acrostic,توشيحي
acrostic,جابجا شونده
act,پرده
act,يفا کردن
act,اقدام کردن
act,اقدام به عمل آوردن
act,روح دادن
act as mediator,واسطه شدن
act carelessly,سهل انگاري کردن
act cautiously,مدارا کردن
act conservatively,محافظه کاري کردن
act coyly,ناز کردن
act coyly,غر دادن
act crazy,خل بازي در آوردن
act crazy,خل گري کردن
act deceitfully,نادرستي کردن
act dishonestly,نادرستي کردن
act foolishly,احمقانه رفتار کردن
act gently,مليمت کردن
act harshly,درشتي کردن
act harshly,خشونت کردن
act imprudently,دست از پا خطا کردن
act in a dastardly way,ناجوانمردي کردن
act inexpertly,ناشيگري کردن
act lewdly,هرزه گي کردن
act miserly,خست ورزيدن
act out,تقليد کردن
act stupidly,حماقت کردن
act stupidly,خريت کردن
acting,يفي نميش
acting,بازيگري
acting,کفالت کننده
acting crazy,خل بازي
acting crazy,خل گري
actinometer,تابش سنج
action,کنش
action,عمل
action,فعل
action,عملکرد
action,اقدام
action and reaction,فعل و انفعال
actions,عمليات
actions,افعال
activation,فعال سازي
active,کنشي
active,پر تحرک
active,فعال
active,عامل
active agent,اثرکننده
active element,عنصر فعال
active element,عنصر کنشي
actively,فعالانه
actively,فعالانه
activity,فعاليت
actor,بازيگر
actor,بازيگران داستان
actress,بازيگران داستان
actress,بازيگر
actress,بازيگرزن
acts,عمليات
acts,اعمال
actual,حالي
actual address,نشاني واقعي
actual argument,نشانوند واقعي
actual key,کليد واقعي
actuality,امرمسلم
actualize,واقعي کردن
actually,عملا
actually,بالفعل
actually,واقعا
actually,فعلا
actually,در حقيقت
actuary,آمارگر
actuary,آمارگير
actuation,بکار اندازي
actuator,بکار اندازنده
acuminate,نوک دار
acumination,عمل تيزکردن
acupunctuate,سوزن فروکردن
acupuncture,طب سوزني
acupuncture,سوزن درماني
acute,حاد
acute,سلسله اعصاب مو
acute angle,زاويه حاده
acute angle,زاويه تند
acutely,بحدت
acuteness,ذکاوت
acyclic,ناچرخهي
ad,جنجالي
ad,چرنده
ad,چاروادار
ad,بلد
ad,ضال
ad,بي معرفت
ad,چيت
ad,غادر
ad,چنار
ad hoc,فاقد عموميت
Adam,آدم ابولبشر
Adam,آدم
Adam's apple,جوزک
adamant,يکدنده
adapt,تطبيق دادن
adaptability,وفق پذيري
adaptable,وفق پذير
adaptable,سازواري پزير
adaptation,سازواري
adaptation,اقتباس
adaptation,وفاق
adaptation,تطبيق
adapted,اقتباسي
adapter,وفق دهنده
adapter,سازوارگر
adaption,سازواري
adaptive,وفقي
adaptive,تطبيقي
adaptometer,سازواري سنج
adaptometry,سازواري سنجي
adaptor,سازوارگر
adaptor,وفق دهنده
adbivalent,دوظرفيتي
add,افزودن
add,علاوه کردن
add,اضافه نمودن
add,اضافه کردن
add fuel to fire,آتش دامن زدن
add fuel to the fire,دامن زدن
add up,جمع کردن
add up,جمع زدن
add up,جمع بندي کردن
addable,اضافه شدني
added,افزوده
adder,مار جعفري
adder,افزيشگر
addict,مبتلا کردن
addict,خو گرفتگي
addict,معتاد کردن
addict,معتاد
addicted,افيوني
addicted,معتاد
addiction,ابتلاء
addiction,ابتلا
addiction,اعتياد
addiction,آموختگي
adding machine,ماشين افزيشگر
adding up,جمع بندي
addition,علاوه
addition,جمع
addition table,جدول افزيشي
additional,اضافي
additions,مضافات
additions,ملحقات
additive,افزيشي
additive inverse,وارون افزيشي
addle,خرف کردن
address,مخاطب قرار دادن
address,سرخط
address,نشاني
address,اسم و رسم
address,مخاطب ساختن
address,ورنامه
address,آدرس
address,نشاني دادن
address,خطاب کردن
address counter,نشاني شمار
address format,قالب نشاني
address of welcome,خير مقدم
address part,جز نشاني
address register,ثبات نشاني
address variable,متغير نشاني
addressability,نشاني پذيري
addressable,نشاني پذير
addressee,مخاطب
addressee,گيرنده نامه
addresser,مخاطب
addressing,نشاني يابي
addressing,نشاني دهي
addressing,خطاب به
adducement,اقامه
adductor,نزديک کننده
adduse,استشهاد کردن
adduse,بگواهي خواستن
Adel,عادل
Adeleh,عادله
adept,مرد زبردست
adeptly,زبر دستي
adequate,وافي
adequate,مکفي
adequateness,وفادار ماندن
adequateness,هواخواه بودن
adequateness,متفق بودن
adequateness,جور بودن
adhere,چسباندن
adhere,جور بودن
adhere,چسبيدن
adhere,وفادار ماندن
adhere,هواخواه بودن
adhere,متفق بودن
adherence,تبعيت
adherence,ملازمت
adhesion,دوسيدگي
adhesion,قبول عضويت
adhesion,کشش سطحي
adhesive,ملتصق
adhesive,چسبناک
adhesive,چسبنده
adhesiveness,چسبندگي
adhesiveness,چسبيدگي
Adi,عدي
adinterim,در فاصله
adipose tissue,چربي حيواني
adjacence,قرب جوار
adjacent,همجوار
adjacent angles,زويي مجاور
adjectival,صفتي
adjectival,وصفي
adjective,صفت
adjoining,مجاور
adjudicate,احقاق کردن
adjudication,احقاق
adjudication,احقاق حق
adjunct,صفت فرعي
adjunction,مشاع سازي
adjuration,لابه
adjust,انطباق يافتن
adjust,تنظيم کردن
adjust,تعديل کردن
adjust,کم و زياد کردن
adjust,ميزان کردن
adjust with,منطبق شدن
adjustable,قابل تصحيح
adjustable,تنظيم پذير
adjustable wrench,آچار فرانسه
adjuster,تنظيم کننده
adjuster,معدل
adjuster,معدل
adjusting,منطبق
adjustment,انطباق
adjustment,تعديل
adjustment,تنظيم
adjustment,تصحيح
adjutant,آجودان
adjuvant,ياري کننده
adlib,بميل خود
administer justice,احقاق حق کردن
administration,اداره کل
administration,وصيت
administration,فرمداري
administration of justice,دادگستري
administrative,اداري
administrator,فرمدار
administrator,ادارهکننده
administrator,مدير تصفيه
administrator,فرمدار
admirable,ستودني
admirable,هژير
admirable,پسنديده
admirable,قابل تحسين
admirable,قابل پسند
admiral,درياسالار
admiral,دريابيگي
admiralty,درياسالاري
admiration,تحسين
admiration,پسند
admire,پسنديدن
admire,متعجب ساختن
admire,تحسين کردن
admirer,ستينده
admirer,تحسينکننده
admirer,ستيشگر
admissibility,روا بودن
admissibility,روائي
admissibility,قابلت قبول
admissibility,پذيرفتگي
admissibility,اختيارداري
admissible,روا
admissible,پذيرفتني
admissible,قابل تصديق
admissible,مجاز
admission,اعتراف
admission,بارداد
admission,دخول
admission,پذيرش
admission,اجازه ورود
admission,اجازه دخول
admission fee,وروديه
admission fee,حقالورود
admittance,هديت ظاهري
admitted,پذيرفته
admittedly,معترفا
admix,بهم پيوستن
admixtion,هم آميزه
admixture,هم آميزه
admonish,پند دادن
admonitive,نصيحت آميز
admonitory,عبرتانگيز
Adnan Pachechi,عدنان پاچه چي
adnspicuous,غيرمشخص
adolescence,بلوغ
adolescent,نوخاسته
adolescent,نوجوان
adolescent,نوجوان
adopt,فرا گرفتن
adopt,اتخاذ کردن
adopt a pen name,تخلص کردن
adopted sister,خواهر خوانده
adopted son,پسرخوانده
adoption,تبني
adoption,اتخاذ
adorability,قابليت پرستش
adorable,قابل پرستش
adorable,قابل پرستش
adorableness,قابليت پرستش
adoration,عشق ورزي
adoration,پرستش
adore,پرستيدن
adorn,آراستن
adorn,پيراستن
adorn,آريش دادن
adorn,آريش کردن
adorn,مزين کردن
adorning,آريش دهنده
adornment,تزيين
adornment,پيراستگي
adornment,آريش
adornment,آراستگي
adornment,تراز
adornment,زينت
adrenergic,شبيه آدرنالين
adrift,غوطه ورروي آب مج
adroit,زبر دست
adsorption,جذب سطحي
aducity,ضعف پيري
aductive,استشهادي
adulate,مدح گفتن
adult,بالغ
adult,بالغ
adult,بزرگ سال
adult,بزرگ سال
adult,بزرگ
adult,بزرگسال
adult education,آموزش بزرگسالان
adult school,مدرسه بزرگسالان
adult school,مدرسه اکابر
adulterant,استحاله دهنده
adulterate,جازن
adulterate,جازن
adulteration,استحاله
adulterer,فاجر
adulterer,مرد زناکار
adulterer,زاني
adulterer,زناکار
adulterer,فاجر
adulterer,زاني
adulterer,زناکار
adulteress,فاجره
adulteress,زن زناکار
adulteress,زانيه
adulteress,فاجره
adulteress,زانيه
adulterous,زناکارانه
adultery,زني محصنه
adultery,ازدواج غيرشرعي
adultery,زنا
adults,اکابر
advance,پيش افتادن
advance,پيشرفت کردن
advance,جلو افتادن
advance,جلو آمدن
advance,جلو رفتن
advance,ترقي دادن
advance,جلو بردن
advance,ترقي کردن
advance,راقي
advance,پيش رفتن
advance,پيشروي
advance,پيشروي کردن
advance fare,پيش کريه
advance money,سلم
advance payment,پيش پرداخت
advance payment,مساعده
advance purchase,سلف خري
advance wage,پيش مزد
advanced,پيشرفته
advanced,سلم
advancement,پيشروي
advancement,ترفيع
advancement,پيشرفتگي
advancement,پيشرفت
advancing,راقي
advantage,مفيد بودن
advantage,حسن
advantage,سودمند بودن
advantage,فيده
advantage,منفعت
advantage,مزيت
advantage,مزيت دادن
advantageous,نافع
advantageous,باصرفه
advantages,منافع
advent,ظهور
adventitious,نابجا
adventitious,عارضي
adventitious,غير موروثي
adventive,نابومي
adventure,خوان
adventure,ماجريي
adventure,ماجرا
adventurer,ماجراجو
adventurer,ماجرا جو
adventurer,ماجراجو
adventurer,حادثه جو
adventurer,حادثه جو
adventuress,زن جسور
adventurous,پرماجرا
adventurous,پر سرگذشت
adventurous,مخاطره آميز
adventurous,ماجراجويانه
adventurous,مخاطره طلب
adventurous,ماجراجو
adventurousness,ماجراجويي
adverb,عبارت قيدي
adverb,معين فعل
adverb of place,اسم مکان
adverb of time,اسم زمان
adverbial,ظرفي
adversary,هم آورد
adversary,هم آورد
adversary,هم نبرد
adversative,نقضآميز
adverse,ناموافق
adversity,نکبت
adversity,ضرا
adversity,شقاوت
adversity,ادبار
adverting,عطف
advertise,آگهي کردن
advertise,اعلان کردن
advertisement,اگهي
advertisement,تبليغ
advertisement,اعلان
advertisement,آگهي
advertiser,آگهي گر
advice,اطلاع
advice,پند
advice,اندرز
advice,صوابديد
advice,نصيحت
advisable,مصلحتآميز
advisable,صواب
advisable,مقتضي
advisable,مصلحتي
advisable,مصلحت آميز
advisable,مقرون بصلاح
advisable,قابل توصيه
advise,نصيحت کردن
advise,پند گفتن
advise,پند دادن
advise,توصيه کردن
advise,آگاه کردن
advise,تجويز
advise,اعلاميه
advise,اندرز دادن
adviser,ناصح
adviser,رهنمون
adviser,رهنمون
advisers,نصحا
advisers,ندما
advisor,مستشار
advisor,مشاور
advisor,استاد راهنما
advisory,مشورتي
advisory,نصيحت آميز
advisory,نصيحتي
advocacy,طرفداري
advocate,وکيل مدافع
advocate,طرفدار بودن
aegean,اژه
aeon,قرن بي انتها
aeration,هوا خوردگي
aerial,هويي
aerie,آشيانه مرتفع
aeriferous,هوابر
aerification,تهويه
aerobatics,پرواز خوبي
aerobiosis,هوازيستي
aerobiosis,هوازي
aerogram,هوا نامه
aerogramme,هوا نامه
aerolite,شهاب ثاقب
aerology,جوشناسي
aeronautics,دانش هواپيمائي
aeroscopy,هوابيني
aerospace,آرواسپيس
aerosphere,اتمسفر
aerosphere,کره هوا
aesthete,جمال پرست
aesthetic,ظريف طبع
aestheticism,زيبيي پرستي
aesthetics,زيبائي شناسي
aesthetics,زيبيي گريي
aestival,ناخوشي تابستاني
Afagh,آفاق
Afarin,آفرين
Afat,عفت
affable,خوش برخورد
affable,خوش خلق
affair,مصلحت
affair,حاجت
affair,امر
affaire,کار و بار
affairs,امور
affairs,مصالح
affect,تاثير گذاردن
affect,اثر کردن
affectation,تصنع
affected,تصنعي
affected,مبتلا
affected,دچارعلت کردن
affected with,مبتلا به
affection,عاطفه
affection,علاقه
affection,محبت
affection,عطوفت
affection,رافت
affection,عطف
affectional,عطفي
affectionate,عاطف
affectionate,با محبت
affectionate,مهربان
affectionate,محبت آميز
affeir,کار و بار
affidavit,سوگندنامه
affidavit,استشهاد نامه
affidavit,شهادت نامه
affidavit,شهادت نامه
affidavit,استشهاد
affidavy,شهادت نامه
affiliate,مربوط ساختن
affine,نسبت ازدواجي
affirm,آشکارا گفتن
affirm,بحق دانستن
affirmation,يجاب
affirmative,تصديقآميز
affirmative,مبت
affirmative,عبارت مثبت
affirmative,اظهار مثبت
affirmative,مبت
affirmative answer,جواب مثبت
afflatus,وحي الهي
afflict,رنجور کردن
afflicted,غمزده
afflicted,غصه دار
afflicted,مستمند
afflicted,مصيبت زده
afflicted,غمديده
afflicted,رنجه
afflicted,بلا ديده
afflicted,دلخسته
afflicting,گريبان گير
affliction,ابتلاء
affliction,غمزدگي
affliction,ابتلا
affliction,مصيبت
affliction,رنجوري
affliction,مشقت
afflictive,رنجورساز
affluence,نعمت
affluence,تنعم
afford,از عهده برآمدن
afford,استطاعت داشتن
